timestamp,open,high,low,close
2025-07-30 18:58:00+00:00,1.14328,1.14335,1.14257,1.14294
2025-07-30 18:59:00+00:00,1.14296,1.14309,1.14244,1.14244
2025-07-30 19:00:00+00:00,1.14244,1.14289,1.14235,1.14274
2025-07-30 19:01:00+00:00,1.14276,1.14338,1.14276,1.14328
2025-07-30 19:02:00+00:00,1.14327,1.14328,1.1427,1.14273
2025-07-30 19:03:00+00:00,1.14272,1.14279,1.14218,1.1425
2025-07-30 19:04:00+00:00,1.1425,1.14254,1.14198,1.14208
2025-07-30 19:05:00+00:00,1.14208,1.14211,1.14162,1.14164
2025-07-30 19:06:00+00:00,1.14164,1.14248,1.14156,1.14248
2025-07-30 19:07:00+00:00,1.14246,1.14276,1.14212,1.14222
2025-07-30 19:08:00+00:00,1.14222,1.14298,1.14209,1.14289
2025-07-30 19:09:00+00:00,1.14289,1.14314,1.14274,1.14281
2025-07-30 19:10:00+00:00,1.1428,1.14308,1.14278,1.14296
2025-07-30 19:11:00+00:00,1.14295,1.14339,1.1428,1.14335
2025-07-30 19:12:00+00:00,1.14332,1.14356,1.14326,1.1435
2025-07-30 19:13:00+00:00,1.1435,1.14362,1.14326,1.14359
2025-07-30 19:14:00+00:00,1.14358,1.1436,1.14315,1.14316
2025-07-30 19:15:00+00:00,1.14316,1.14326,1.14308,1.14324
2025-07-30 19:16:00+00:00,1.14322,1.14322,1.14264,1.14314
2025-07-30 19:17:00+00:00,1.14314,1.14319,1.14281,1.14282
