timestamp,open,high,low,close
2025-07-30 22:07:40+00:00,1.14146,1.14146,1.14146,1.14146
2025-07-30 22:07:50+00:00,1.14147,1.14147,1.14146,1.14146
2025-07-30 22:08:00+00:00,1.14144,1.14144,1.14142,1.14142
2025-07-30 22:08:10+00:00,1.14141,1.14141,1.14141,1.14141
2025-07-30 22:08:15+00:00,1.1414,1.1414,1.1414,1.1414
2025-07-30 22:08:20+00:00,1.14141,1.14141,1.1414,1.1414
2025-07-30 22:08:25+00:00,1.1414,1.1414,1.14136,1.14138
2025-07-30 22:08:30+00:00,1.14137,1.14137,1.14137,1.14137
2025-07-30 22:08:40+00:00,1.14139,1.14139,1.14137,1.14138
2025-07-30 22:08:45+00:00,1.14137,1.14137,1.14136,1.14136
2025-07-30 22:08:55+00:00,1.14134,1.14134,1.1413,1.1413
2025-07-30 22:09:00+00:00,1.14128,1.14134,1.14128,1.14134
2025-07-30 22:09:05+00:00,1.14135,1.14136,1.14135,1.14136
2025-07-30 22:09:15+00:00,1.14136,1.14136,1.14136,1.14136
2025-07-30 22:09:25+00:00,1.14139,1.1414,1.14138,1.1414
2025-07-30 22:09:50+00:00,1.14144,1.1415,1.14144,1.1415
2025-07-30 22:10:00+00:00,1.14148,1.14148,1.14148,1.14148
2025-07-30 22:10:05+00:00,1.14148,1.14148,1.14148,1.14148
2025-07-30 22:10:30+00:00,1.14152,1.14156,1.14152,1.14156
2025-07-30 22:10:40+00:00,1.14156,1.1416,1.14156,1.1416
2025-07-30 22:10:45+00:00,1.14163,1.14168,1.14163,1.14164
2025-07-30 22:11:00+00:00,1.1416,1.1416,1.14158,1.14158
2025-07-30 22:11:35+00:00,1.14158,1.14158,1.14158,1.14158
2025-07-30 22:11:40+00:00,1.14158,1.14158,1.14157,1.14157
2025-07-30 22:11:45+00:00,1.14158,1.14158,1.14157,1.14157
2025-07-30 22:11:50+00:00,1.14158,1.14158,1.14157,1.14157
2025-07-30 22:11:55+00:00,1.1416,1.1416,1.1416,1.1416
2025-07-30 22:12:00+00:00,1.14158,1.14158,1.14158,1.14158
2025-07-30 22:12:15+00:00,1.14159,1.14164,1.14159,1.14164
2025-07-30 22:13:10+00:00,1.1416,1.1416,1.14158,1.14158
2025-07-30 22:13:25+00:00,1.14157,1.1416,1.14157,1.1416
2025-07-30 22:13:30+00:00,1.1416,1.1416,1.1416,1.1416
2025-07-30 22:13:35+00:00,1.14162,1.14162,1.14162,1.14162
2025-07-30 22:13:55+00:00,1.14162,1.14162,1.14162,1.14162
2025-07-30 22:14:00+00:00,1.1416,1.1416,1.1416,1.1416
2025-07-30 22:14:10+00:00,1.14158,1.14158,1.14154,1.14158
2025-07-30 22:14:15+00:00,1.14159,1.14167,1.14158,1.14166
2025-07-30 22:14:30+00:00,1.14164,1.14164,1.14164,1.14164
2025-07-30 22:14:35+00:00,1.14164,1.14164,1.14164,1.14164
2025-07-30 22:14:40+00:00,1.14164,1.14164,1.14164,1.14164
2025-07-30 22:14:45+00:00,1.14164,1.14164,1.14164,1.14164
2025-07-30 22:14:55+00:00,1.14166,1.14166,1.14166,1.14166
2025-07-30 22:15:00+00:00,1.14165,1.14165,1.14165,1.14165
2025-07-30 22:15:05+00:00,1.14166,1.14169,1.14166,1.14169
2025-07-30 22:15:10+00:00,1.14168,1.14169,1.14166,1.14169
2025-07-30 22:15:15+00:00,1.1417,1.1417,1.14168,1.1417
